studyid,black,hispanic,female,appyear,mnce,select,choice,selectyrs,choiceyrs,mnce90,selectyrs1,selectyrs2,selectyrs3,selectyrs4,choiceyrs1,choiceyrs2,choiceyrs3,choiceyrs4,fitted
21,1,0,1,90,44,1,0,4,1,,0,0,0,1,1,0,0,0,3.0964621595996853
26,1,0,0,90,46,1,1,4,4,,0,0,0,1,0,0,0,1,3.0641042305751913
30,1,0,0,90,20,1,1,4,4,,0,0,0,1,0,0,0,1,3.0641042305751913
31,1,0,1,90,36,1,1,4,4,,0,0,0,1,0,0,0,1,3.0964621595996853
33,1,0,0,90,32,1,1,4,4,,0,0,0,1,0,0,0,1,3.0641042305751913
39,1,0,1,90,76,1,0,4,1,19.0,0,0,0,1,1,0,0,0,3.0964621595996853
43,1,0,1,90,1,1,1,4,4,,0,0,0,1,0,0,0,1,3.0964621595996853
44,1,0,1,90,17,1,1,4,4,,0,0,0,1,0,0,0,1,3.0964621595996853
45,1,0,1,90,58,1,1,4,4,,0,0,0,1,0,0,0,1,3.0964621595996853
46,1,0,1,90,15,1,1,4,4,20.0,0,0,0,1,0,0,0,1,3.0964621595996853
47,1,0,1,90,81,1,0,4,1,58.0,0,0,0,1,1,0,0,0,3.0964621595996853
49,1,0,0,90,10,1,1,4,4,66.0,0,0,0,1,0,0,0,1,3.0641042305751913
51,1,0,0,90,37,1,0,4,3,52.0,0,0,0,1,0,0,1,0,3.0641042305751913
53,1,0,0,90,59,1,0,4,1,,0,0,0,1,1,0,0,0,3.0641042305751913
54,1,0,0,90,60,1,0,4,1,46.0,0,0,0,1,1,0,0,0,3.0641042305751913
55,1,0,0,90,47,1,1,4,4,,0,0,0,1,0,0,0,1,3.0641042305751913
57,1,0,1,90,10,1,1,4,3,28.0,0,0,0,1,0,0,1,0,3.0964621595996853
60,1,0,0,90,62,1,1,4,3,54.0,0,0,0,1,0,0,1,0,3.0641042305751913
61,1,0,0,90,10,1,1,4,3,32.0,0,0,0,1,0,0,1,0,3.0641042305751913
62,1,0,0,90,29,1,0,4,2,44.0,0,0,0,1,0,1,0,0,3.0641042305751913
63,1,0,0,90,64,1,1,4,4,61.0,0,0,0,1,0,0,0,1,3.0641042305751913
69,1,0,1,90,63,1,1,4,3,55.0,0,0,0,1,0,0,1,0,3.0964621595996853
71,1,0,1,90,13,1,1,4,3,,0,0,0,1,0,0,1,0,3.0964621595996853
91,1,0,1,90,57,1,0,4,0,,0,0,0,1,0,0,0,0,3.0964621595996853
132,0,1,1,90,39,1,1,4,3,,0,0,0,1,0,0,1,0,3.1100616915903405
133,0,1,1,90,13,1,1,4,3,,0,0,0,1,0,0,1,0,3.1100616915903405
136,0,1,0,90,66,1,1,4,3,,0,0,0,1,0,0,1,0,3.0777037625658465
138,0,1,0,90,10,1,1,4,3,,0,0,0,1,0,0,1,0,3.0777037625658465
139,0,1,1,90,62,1,1,4,4,58.0,0,0,0,1,0,0,0,1,3.1100616915903405
179,1,0,0,90,31,1,0,4,0,,0,0,0,1,0,0,0,0,3.0641042305751913
192,1,0,1,90,66,1,0,4,0,54.0,0,0,0,1,0,0,0,0,3.0964621595996853
194,1,0,1,90,37,1,0,4,0,,0,0,0,1,0,0,0,0,3.0964621595996853
195,0,0,1,90,59,1,0,4,0,61.0,0,0,0,1,0,0,0,0,3.0670327866632072
199,1,0,1,90,42,1,1,4,4,1.0,0,0,0,1,0,0,0,1,3.0964621595996853
200,1,0,1,90,47,1,1,4,4,33.0,0,0,0,1,0,0,0,1,3.0964621595996853
207,1,0,0,90,60,1,0,4,0,58.0,0,0,0,1,0,0,0,0,3.0641042305751913
212,1,0,0,90,38,1,0,4,0,,0,0,0,1,0,0,0,0,3.0641042305751913
214,1,0,1,90,17,1,1,4,2,,0,0,0,1,0,1,0,0,3.0964621595996853
215,0,0,1,90,41,1,1,4,2,,0,0,0,1,0,1,0,0,3.0670327866632072
221,1,0,1,90,35,1,1,4,3,,0,0,0,1,0,0,1,0,3.0964621595996853
223,0,0,1,90,50,1,1,4,2,,0,0,0,1,0,1,0,0,3.0670327866632072
225,0,0,1,90,66,1,1,4,4,,0,0,0,1,0,0,0,1,3.0670327866632072
226,1,0,0,90,15,1,1,4,4,28.0,0,0,0,1,0,0,0,1,3.0641042305751913
228,0,0,0,90,58,1,1,4,4,69.0,0,0,0,1,0,0,0,1,3.0346748576387133
230,0,0,1,90,68,1,1,4,4,,0,0,0,1,0,0,0,1,3.0670327866632072
232,0,0,0,90,38,1,1,4,4,54.0,0,0,0,1,0,0,0,1,3.0346748576387133
233,0,0,0,90,55,1,1,4,4,,0,0,0,1,0,0,0,1,3.0346748576387133
241,1,0,0,90,68,1,1,4,2,,0,0,0,1,0,1,0,0,3.0641042305751913
245,1,0,1,90,28,1,1,4,3,,0,0,0,1,0,0,1,0,3.0964621595996853
246,1,0,1,90,44,1,1,4,3,,0,0,0,1,0,0,1,0,3.0964621595996853
248,1,0,1,90,52,1,1,4,4,,0,0,0,1,0,0,0,1,3.0964621595996853
251,1,0,0,90,50,1,1,4,4,,0,0,0,1,0,0,0,1,3.0641042305751913
253,1,0,1,90,56,1,1,4,4,,0,0,0,1,0,0,0,1,3.0964621595996853
257,1,0,1,90,48,1,1,4,4,,0,0,0,1,0,0,0,1,3.0964621595996853
258,1,0,0,90,33,1,1,4,4,,0,0,0,1,0,0,0,1,3.0641042305751913
261,1,0,1,90,42,1,1,4,3,32.0,0,0,0,1,0,0,1,0,3.0964621595996853
263,1,0,1,90,50,1,1,4,4,,0,0,0,1,0,0,0,1,3.0964621595996853
264,1,0,1,90,48,1,1,4,4,,0,0,0,1,0,0,0,1,3.0964621595996853
265,1,0,1,90,23,1,1,4,4,,0,0,0,1,0,0,0,1,3.0964621595996853
268,1,0,0,90,10,1,1,4,3,,0,0,0,1,0,0,1,0,3.0641042305751913
270,1,0,1,90,60,1,1,4,3,,0,0,0,1,0,0,1,0,3.0964621595996853
271,1,0,1,90,42,1,1,4,3,,0,0,0,1,0,0,1,0,3.0964621595996853
272,1,0,0,90,33,1,1,4,4,,0,0,0,1,0,0,0,1,3.0641042305751913
273,1,0,0,90,47,1,1,4,3,58.0,0,0,0,1,0,0,1,0,3.0641042305751913
274,1,0,0,90,35,1,1,4,3,,0,0,0,1,0,0,1,0,3.0641042305751913
275,1,0,1,90,50,1,0,4,1,42.0,0,0,0,1,1,0,0,0,3.0964621595996853
276,1,0,0,90,45,1,1,4,3,,0,0,0,1,0,0,1,0,3.0641042305751913
280,1,0,0,90,7,1,1,4,3,,0,0,0,1,0,0,1,0,3.0641042305751913
283,1,0,1,90,20,1,1,4,3,,0,0,0,1,0,0,1,0,3.0964621595996853
288,1,0,1,90,31,1,1,4,4,41.0,0,0,0,1,0,0,0,1,3.0964621595996853
294,1,0,1,90,54,1,1,4,4,,0,0,0,1,0,0,0,1,3.0964621595996853
295,1,0,1,90,52,1,1,4,4,,0,0,0,1,0,0,0,1,3.0964621595996853
298,1,0,0,90,46,1,1,4,4,15.0,0,0,0,1,0,0,0,1,3.0641042305751913
301,1,0,0,90,99,1,1,4,4,,0,0,0,1,0,0,0,1,3.0641042305751913
302,1,0,0,90,51,1,1,4,4,31.0,0,0,0,1,0,0,0,1,3.0641042305751913
306,1,0,0,90,28,1,1,4,4,20.0,0,0,0,1,0,0,0,1,3.0641042305751913
312,1,0,1,90,51,1,1,4,4,31.0,0,0,0,1,0,0,0,1,3.0964621595996853
314,1,0,0,90,85,1,1,4,3,,0,0,0,1,0,0,1,0,3.0641042305751913
316,1,0,1,90,50,1,1,4,4,31.0,0,0,0,1,0,0,0,1,3.0964621595996853
317,1,0,0,90,13,1,1,4,4,,0,0,0,1,0,0,0,1,3.0641042305751913
320,1,0,1,90,48,1,1,4,4,,0,0,0,1,0,0,0,1,3.0964621595996853
321,1,0,1,90,80,1,1,4,3,,0,0,0,1,0,0,1,0,3.0964621595996853
322,1,0,0,90,73,1,1,4,4,,0,0,0,1,0,0,0,1,3.0641042305751913
323,1,0,0,90,59,1,1,4,4,,0,0,0,1,0,0,0,1,3.0641042305751913
324,1,0,0,90,35,1,1,4,4,,0,0,0,1,0,0,0,1,3.0641042305751913
325,1,0,1,90,10,1,0,4,2,32.0,0,0,0,1,0,1,0,0,3.0964621595996853
340,1,0,1,90,48,1,1,4,4,,0,0,0,1,0,0,0,1,3.0964621595996853
341,0,1,1,90,38,1,1,4,4,,0,0,0,1,0,0,0,1,3.1100616915903405
342,0,1,0,90,67,1,0,4,1,55.0,0,0,0,1,1,0,0,0,3.0777037625658465
353,0,1,1,90,48,1,1,4,3,32.0,0,0,0,1,0,0,1,0,3.1100616915903405
354,0,1,1,90,45,1,0,4,1,,0,0,0,1,1,0,0,0,3.1100616915903405
370,1,0,0,91,32,1,1,3,2,,0,0,1,0,0,1,0,0,2.3006720951966044
371,1,0,1,91,46,1,1,3,2,,0,0,1,0,0,1,0,0,2.333030024221099
372,0,1,1,91,36,1,1,3,2,59.0,0,0,1,0,0,1,0,0,2.3466295562117536
379,1,0,0,93,32,1,1,1,1,,1,0,0,0,1,0,0,0,0.7738078244394309
380,1,0,0,91,42,1,0,3,1,20.0,0,0,1,0,1,0,0,0,2.3006720951966044
381,1,0,0,93,67,1,1,1,1,,1,0,0,0,1,0,0,0,0.7738078244394309
382,1,0,1,91,59,1,1,3,3,58.0,0,0,1,0,0,0,1,0,2.333030024221099
385,1,0,0,91,99,1,1,3,2,,0,0,1,0,0,1,0,0,2.3006720951966044
387,1,0,0,91,7,1,1,3,2,,0,0,1,0,0,1,0,0,2.3006720951966044
391,1,0,0,91,40,1,1,3,3,39.0,0,0,1,0,0,0,1,0,2.3006720951966044
392,1,0,0,91,45,1,1,3,2,,0,0,1,0,0,1,0,0,2.3006720951966044
394,1,0,1,91,31,1,1,3,3,56.0,0,0,1,0,0,0,1,0,2.333030024221099
396,1,0,1,91,55,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
397,1,0,1,91,61,1,1,3,2,,0,0,1,0,0,1,0,0,2.333030024221099
398,1,0,1,91,41,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
402,1,0,1,91,52,1,1,3,3,57.0,0,0,1,0,0,0,1,0,2.333030024221099
403,1,0,1,91,47,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
405,1,0,1,91,56,1,1,3,2,,0,0,1,0,0,1,0,0,2.333030024221099
412,1,0,0,91,32,1,1,3,3,,0,0,1,0,0,0,1,0,2.3006720951966044
415,1,0,1,91,17,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
421,1,0,0,91,46,1,1,3,2,,0,0,1,0,0,1,0,0,2.3006720951966044
427,1,0,1,91,28,1,0,3,1,41.0,0,0,1,0,1,0,0,0,2.333030024221099
432,1,0,1,91,38,1,1,3,2,,0,0,1,0,0,1,0,0,2.333030024221099
436,1,0,1,91,68,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
438,1,0,1,91,36,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
439,1,0,1,91,29,1,1,3,2,15.0,0,0,1,0,0,1,0,0,2.333030024221099
440,1,0,0,91,34,1,1,3,2,,0,0,1,0,0,1,0,0,2.3006720951966044
442,1,0,0,91,17,1,0,3,0,25.0,0,0,1,0,0,0,0,0,2.3006720951966044
443,1,0,1,93,25,1,1,1,2,,1,0,0,0,0,1,0,0,0.8061657534639254
444,1,0,1,91,38,1,1,3,1,,0,0,1,0,1,0,0,0,2.333030024221099
451,1,0,0,91,62,1,1,3,3,,0,0,1,0,0,0,1,0,2.3006720951966044
452,1,0,0,91,44,1,1,3,2,,0,0,1,0,0,1,0,0,2.3006720951966044
453,1,0,1,91,34,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
457,1,0,0,91,51,1,1,3,2,,0,0,1,0,0,1,0,0,2.3006720951966044
459,1,0,0,91,90,1,1,3,2,,0,0,1,0,0,1,0,0,2.3006720951966044
484,1,0,1,92,48,1,1,2,1,,0,1,0,0,1,0,0,0,1.5695978888425122
490,0,1,1,91,1,1,1,3,2,,0,0,1,0,0,1,0,0,2.3466295562117536
492,1,0,1,91,7,1,1,3,2,,0,0,1,0,0,1,0,0,2.333030024221099
494,0,0,0,91,28,1,1,3,2,,0,0,1,0,0,1,0,0,2.2712427222601264
497,0,1,0,91,34,1,1,3,1,,0,0,1,0,1,0,0,0,2.31427162718726
498,1,0,0,91,20,1,1,3,3,41.0,0,0,1,0,0,0,1,0,2.3006720951966044
503,1,0,0,91,52,1,1,3,3,,0,0,1,0,0,0,1,0,2.3006720951966044
504,1,0,1,91,39,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
505,1,0,0,91,17,1,1,3,3,,0,0,1,0,0,0,1,0,2.3006720951966044
508,1,0,1,91,35,1,0,3,2,,0,0,1,0,0,1,0,0,2.333030024221099
510,1,0,0,91,28,1,1,3,2,,0,0,1,0,0,1,0,0,2.3006720951966044
511,1,0,1,91,35,1,1,3,2,1.0,0,0,1,0,0,1,0,0,2.333030024221099
514,1,0,0,91,1,1,0,3,1,,0,0,1,0,1,0,0,0,2.3006720951966044
515,1,0,1,91,62,1,1,3,3,48.0,0,0,1,0,0,0,1,0,2.333030024221099
516,1,0,0,91,17,1,0,3,1,25.0,0,0,1,0,1,0,0,0,2.3006720951966044
518,1,0,0,91,10,1,1,3,3,15.0,0,0,1,0,0,0,1,0,2.3006720951966044
519,1,0,0,91,31,1,1,3,3,,0,0,1,0,0,0,1,0,2.3006720951966044
520,1,0,0,91,47,1,1,3,3,41.0,0,0,1,0,0,0,1,0,2.3006720951966044
522,1,0,0,91,38,1,1,3,3,10.0,0,0,1,0,0,0,1,0,2.3006720951966044
523,1,0,1,91,17,1,0,3,2,34.0,0,0,1,0,0,1,0,0,2.333030024221099
525,1,0,1,91,45,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
526,1,0,1,91,41,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
529,1,0,1,91,31,1,0,3,2,,0,0,1,0,0,1,0,0,2.333030024221099
531,1,0,0,91,48,1,1,3,3,,0,0,1,0,0,0,1,0,2.3006720951966044
533,1,0,0,91,46,1,0,3,1,,0,0,1,0,1,0,0,0,2.3006720951966044
535,1,0,0,91,81,1,0,3,2,,0,0,1,0,0,1,0,0,2.3006720951966044
536,1,0,1,91,22,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
538,1,0,1,91,51,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
543,1,0,0,91,20,1,1,3,1,,0,0,1,0,1,0,0,0,2.3006720951966044
545,1,0,1,91,45,1,1,3,1,,0,0,1,0,1,0,0,0,2.333030024221099
555,1,0,0,91,44,1,1,3,3,45.0,0,0,1,0,0,0,1,0,2.3006720951966044
556,1,0,1,91,46,1,1,3,3,59.0,0,0,1,0,0,0,1,0,2.333030024221099
558,1,0,0,91,30,1,0,3,1,,0,0,1,0,1,0,0,0,2.3006720951966044
559,1,0,0,91,54,1,1,3,3,,0,0,1,0,0,0,1,0,2.3006720951966044
560,1,0,1,91,38,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
563,1,0,0,91,22,1,1,3,2,,0,0,1,0,0,1,0,0,2.3006720951966044
564,1,0,1,91,22,1,1,3,3,34.0,0,0,1,0,0,0,1,0,2.333030024221099
567,1,0,0,91,1,1,1,3,3,,0,0,1,0,0,0,1,0,2.3006720951966044
580,1,0,0,91,48,1,1,3,3,,0,0,1,0,0,0,1,0,2.3006720951966044
585,1,0,1,91,17,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
588,1,0,1,91,34,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
592,1,0,0,91,10,1,1,3,3,,0,0,1,0,0,0,1,0,2.3006720951966044
595,1,0,0,91,48,1,1,3,3,,0,0,1,0,0,0,1,0,2.3006720951966044
596,1,0,1,91,46,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
597,1,0,0,91,46,1,1,3,3,,0,0,1,0,0,0,1,0,2.3006720951966044
598,1,0,1,91,41,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
612,1,0,0,91,40,1,0,3,1,36.0,0,0,1,0,1,0,0,0,2.3006720951966044
625,1,0,0,91,48,1,1,3,3,,0,0,1,0,0,0,1,0,2.3006720951966044
627,1,0,0,91,46,1,1,3,3,,0,0,1,0,0,0,1,0,2.3006720951966044
628,1,0,1,91,61,1,1,3,2,,0,0,1,0,0,1,0,0,2.333030024221099
631,1,0,1,91,48,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
632,1,0,0,91,51,1,1,3,3,,0,0,1,0,0,0,1,0,2.3006720951966044
633,1,0,1,91,44,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
635,1,0,1,91,20,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
636,1,0,0,91,42,1,0,3,1,25.0,0,0,1,0,1,0,0,0,2.3006720951966044
637,1,0,1,91,55,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
638,1,0,1,91,25,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
639,1,0,0,91,53,1,1,3,3,,0,0,1,0,0,0,1,0,2.3006720951966044
640,1,0,1,91,44,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
641,1,0,1,91,28,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
642,0,1,1,91,45,1,1,3,3,,0,0,1,0,0,0,1,0,2.3466295562117536
645,1,0,0,91,64,1,1,3,1,,0,0,1,0,1,0,0,0,2.3006720951966044
651,0,1,0,91,42,1,1,3,1,,0,0,1,0,1,0,0,0,2.31427162718726
656,0,1,1,91,48,1,1,3,1,,0,0,1,0,1,0,0,0,2.3466295562117536
667,0,1,1,91,25,1,1,3,1,,0,0,1,0,1,0,0,0,2.3466295562117536
668,0,1,1,91,90,1,1,3,2,,0,0,1,0,0,1,0,0,2.3466295562117536
669,0,1,1,91,32,1,1,3,2,,0,0,1,0,0,1,0,0,2.3466295562117536
672,0,1,1,91,34,1,1,3,2,,0,0,1,0,0,1,0,0,2.3466295562117536
674,0,1,1,91,56,1,1,3,2,,0,0,1,0,0,1,0,0,2.3466295562117536
675,0,1,0,92,90,1,1,2,1,,0,1,0,0,1,0,0,0,1.5508394918086728
676,0,1,1,91,61,1,1,3,2,,0,0,1,0,0,1,0,0,2.3466295562117536
678,0,1,0,91,41,1,1,3,2,,0,0,1,0,0,1,0,0,2.31427162718726
682,0,1,0,91,44,1,1,3,2,,0,0,1,0,0,1,0,0,2.31427162718726
683,0,1,1,91,72,1,1,3,2,,0,0,1,0,0,1,0,0,2.3466295562117536
688,0,1,0,91,41,1,1,3,2,,0,0,1,0,0,1,0,0,2.31427162718726
689,0,1,1,91,41,1,1,3,3,,0,0,1,0,0,0,1,0,2.3466295562117536
693,0,1,1,91,13,1,1,3,3,,0,0,1,0,0,0,1,0,2.3466295562117536
697,0,1,1,91,34,1,1,3,3,,0,0,1,0,0,0,1,0,2.3466295562117536
698,0,1,1,91,53,1,1,3,3,,0,0,1,0,0,0,1,0,2.3466295562117536
699,0,1,1,91,13,1,1,3,3,,0,0,1,0,0,0,1,0,2.3466295562117536
701,1,0,0,91,23,1,1,3,3,,0,0,1,0,0,0,1,0,2.3006720951966044
704,0,1,0,91,85,1,1,3,3,,0,0,1,0,0,0,1,0,2.31427162718726
705,0,1,0,91,56,1,1,3,3,,0,0,1,0,0,0,1,0,2.31427162718726
707,0,1,0,91,33,1,1,3,3,,0,0,1,0,0,0,1,0,2.31427162718726
710,0,1,1,91,58,1,1,3,3,,0,0,1,0,0,0,1,0,2.3466295562117536
712,0,1,1,91,46,1,1,3,3,,0,0,1,0,0,0,1,0,2.3466295562117536
713,0,1,1,91,42,1,1,3,3,,0,0,1,0,0,0,1,0,2.3466295562117536
715,0,1,1,91,15,1,1,3,3,,0,0,1,0,0,0,1,0,2.3466295562117536
717,0,1,1,91,37,1,1,3,3,,0,0,1,0,0,0,1,0,2.3466295562117536
718,0,1,0,91,77,1,0,3,0,66.0,0,0,1,0,0,0,0,0,2.31427162718726
719,0,1,1,91,70,1,0,3,0,61.0,0,0,1,0,0,0,0,0,2.3466295562117536
724,1,0,1,91,17,1,0,3,0,29.0,0,0,1,0,0,0,0,0,2.333030024221099
727,0,1,0,91,58,1,1,3,3,,0,0,1,0,0,0,1,0,2.31427162718726
730,0,1,0,91,26,1,1,3,3,,0,0,1,0,0,0,1,0,2.31427162718726
731,0,1,1,91,20,1,1,3,2,,0,0,1,0,0,1,0,0,2.3466295562117536
733,0,1,0,91,36,1,1,3,3,,0,0,1,0,0,0,1,0,2.31427162718726
734,0,1,0,91,28,1,1,3,3,,0,0,1,0,0,0,1,0,2.31427162718726
737,0,1,1,91,22,1,1,3,3,,0,0,1,0,0,0,1,0,2.3466295562117536
738,0,1,0,91,46,1,1,3,3,,0,0,1,0,0,0,1,0,2.31427162718726
742,0,1,0,91,33,1,1,3,3,,0,0,1,0,0,0,1,0,2.31427162718726
743,0,1,1,91,28,1,1,3,3,,0,0,1,0,0,0,1,0,2.3466295562117536
751,0,1,1,91,56,1,1,3,3,,0,0,1,0,0,0,1,0,2.3466295562117536
754,0,1,1,91,87,1,1,3,3,,0,0,1,0,0,0,1,0,2.3466295562117536
768,1,0,1,91,54,1,1,3,2,,0,0,1,0,0,1,0,0,2.333030024221099
769,1,0,0,90,51,1,1,4,4,,0,0,0,1,0,0,0,1,3.0641042305751913
770,1,0,1,90,31,1,1,4,4,56.0,0,0,0,1,0,0,0,1,3.0964621595996853
772,1,0,1,90,46,1,1,4,4,,0,0,0,1,0,0,0,1,3.0964621595996853
774,1,0,1,90,59,1,0,4,3,68.0,0,0,0,1,0,0,1,0,3.0964621595996853
775,1,0,1,90,32,1,1,4,4,1.0,0,0,0,1,0,0,0,1,3.0964621595996853
776,1,0,1,90,42,1,1,4,2,,0,0,0,1,0,1,0,0,3.0964621595996853
783,1,0,1,90,50,1,1,4,4,,0,0,0,1,0,0,0,1,3.0964621595996853
784,1,0,0,90,28,1,1,4,3,15.0,0,0,0,1,0,0,1,0,3.0641042305751913
786,1,0,0,90,1,1,1,4,4,,0,0,0,1,0,0,0,1,3.0641042305751913
787,1,0,0,90,15,1,1,4,4,,0,0,0,1,0,0,0,1,3.0641042305751913
789,1,0,0,91,42,1,1,3,1,,0,0,1,0,1,0,0,0,2.3006720951966044
791,1,0,1,91,63,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
792,1,0,1,91,48,1,1,3,3,,0,0,1,0,0,0,1,0,2.333030024221099
797,0,0,0,91,1,1,1,3,1,,0,0,1,0,1,0,0,0,2.2712427222601264
798,0,1,1,91,1,1,1,3,2,,0,0,1,0,0,1,0,0,2.3466295562117536
799,0,1,1,91,15,1,1,3,3,38.0,0,0,1,0,0,0,1,0,2.3466295562117536
800,0,1,1,91,33,1,1,3,3,,0,0,1,0,0,0,1,0,2.3466295562117536
801,0,1,0,91,30,1,1,3,3,,0,0,1,0,0,0,1,0,2.31427162718726
840,1,0,0,90,29,1,0,4,2,10.0,0,0,0,1,0,1,0,0,3.0641042305751913
845,1,0,0,90,45,1,1,4,4,31.0,0,0,0,1,0,0,0,1,3.0641042305751913
847,1,0,1,90,55,1,1,4,4,,0,0,0,1,0,0,0,1,3.0964621595996853
867,1,0,0,90,45,1,1,4,4,28.0,0,0,0,1,0,0,0,1,3.0641042305751913
868,1,0,1,90,44,1,1,4,4,25.0,0,0,0,1,0,0,0,1,3.0964621595996853
871,1,0,1,91,44,1,0,3,2,,0,0,1,0,0,1,0,0,2.333030024221099
874,0,1,0,90,28,1,0,4,2,,0,0,0,1,0,1,0,0,3.0777037625658465
875,1,0,0,91,64,1,1,3,2,64.0,0,0,1,0,0,1,0,0,2.3006720951966044
