state,district ,democ,vote90,vote88,inexp90,chexp90,inexp88,chexp88,tenure,lawyer,win88,win90,rptchall
"""AL""",2,0,51,94,596096,163663,234923,.,26,1,1,1,0
"""AL""",3,1,74,65,176550,22989,679297,443927,1,0,1,1,0
"""AL""",7,1,71,68,238446,58952,328296,8737,4,1,1,1,0
"""AK""",1,0,52,62,564759,164732,626377,402477,17,0,1,1,0
"""AZ""",2,1,66,73,112373,1445,99607,3065,29,1,1,1,1
"""AZ""",3,0,57,69,225149,9353,319690,26281,14,0,1,1,0
"""AZ""",4,0,61,87,442366,38851,316476,.,4,1,1,1,0
"""AR""",3,0,71,75,105354,15730,159221,60054,24,0,1,1,0
"""AR""",4,1,72,69,480853,511,570155,21393,12,1,1,1,0
"""CA""",2,0,64,59,515020,5951,696748,193915,4,0,1,1,0
"""CA""",3,1,60,71,734005,4628,638688,7695,12,1,1,1,1
"""CA""",5,1,77,76,440973,154858,616936,19245,3,0,1,1,0
"""CA""",6,1,68,73,655402,32724,351687,50532,8,0,1,1,0
"""CA""",7,1,61,68,448026,47912,269887,14710,16,1,1,1,0
"""CA""",9,1,58,73,300996,210089,410540,.,18,0,1,1,0
"""CA""",10,1,63,86,209243,2581,173537,.,28,1,1,1,0
"""CA""",11,1,66,71,620782,97030,269510,95575,10,0,1,1,1
"""CA""",12,0,61,52,685135,103839,1440639,1089570,2,1,1,1,0
"""CA""",16,1,74,79,272710,23849,252336,69563,14,1,1,1,0
"""CA""",17,0,45,72,622184,538354,206677,5227,.,.,1,0,0
"""CA""",19,0,55,50,658365,241815,1470674,1548193,16,1,1,1,0
"""CA""",23,1,62,64,201404,360389,140486,100956,14,1,1,1,1
"""CA""",24,1,69,72,287505,1830,191334,15449,16,1,1,1,1
"""CA""",26,1,61,70,450401,82453,409233,.,8,1,1,1,0
"""CA""",27,1,58,68,587961,146206,398597,15239,8,1,1,1,0
"""CA""",28,1,73,76,113669,3799,114523,.,12,1,1,1,1
"""CA""",30,1,58,60,186130,72867,460622,382111,8,0,1,1,0
"""CA""",32,1,62,67,462503,7579,457410,20608,22,0,1,1,1
"""CA""",33,0,64,69,172451,29177,186183,.,10,0,1,1,0
"""CA""",34,1,61,63,217810,75123,227098,149886,8,0,1,1,0
"""CA""",36,1,53,54,822686,538156,532897,218696,18,0,1,1,0
"""CA""",37,0,50,64,602444,624560,122839,13558,8,0,1,1,0
"""CA""",40,0,68,67,682365,36124,1110126,47746,2,1,1,1,0
"""CA""",42,0,59,64,398963,28350,494487,11889,2,0,1,1,1
"""CO""",1,1,64,70,521500,161266,217503,26040,18,1,1,1,0
"""CO""",2,1,61,63,396017,49080,721647,85095,4,1,1,1,0
"""CO""",3,1,70,78,335760,26917,482789,17936,4,0,1,1,0
"""CO""",5,0,66,75,111435,15288,183229,930,4,0,1,1,0
"""CO""",6,0,65,63,280103,2958,636204,489303,7,0,1,1,0
"""CT""",2,1,60,64,464500,112881,727919,246903,10,0,1,1,0
"""CT""",4,0,75,72,397417,90634,372680,44410,3,0,1,1,0
"""CT""",6,0,74,26,556718,22211,399370,128853,8,0,1,1,0
"""DE""",1,1,66,68,521336,49770,371747,184712,8,0,1,1,0
"""FL""",1,1,52,67,158280,182229,210940,23912,12,0,1,1,0
"""FL""",4,0,56,50,634891,1067366,313415,1069699,2,1,1,1,0
"""FL""",6,0,59,54,462925,26443,408292,503654,2,0,1,1,0
"""FL""",14,1,66,55,469101,213139,971883,777988,2,1,1,1,0
"""FL""",18,0,60,53,560847,112071,1059283,886568,1,0,1,1,0
"""FL""",19,1,62,72,500117,160220,337596,4907,36,1,1,1,0
"""GA""",1,1,71,67,399035,19130,337048,40461,8,0,1,1,1
"""GA""",4,1,52,60,711015,696859,516737,696301,2,0,1,1,0
"""GA""",5,1,76,78,108118,7755,101540,6047,4,0,1,1,1
"""GA""",6,0,50,59,1538945,333873,838708,358354,12,0,1,1,1
"""GA""",7,1,60,65,404874,18692,382281,60694,7,1,1,1,0
"""GA""",9,1,56,63,318247,134772,405040,64400,14,1,1,1,1
"""GA""",10,1,58,64,937464,154326,193123,6760,14,1,1,1,0
"""ID""",2,1,64,63,406219,141681,502083,206960,6,0,1,1,0
"""IL""",1,1,94,96,125509,42901,145905,.,7,0,1,1,0
"""IL""",4,1,59,50,472757,642391,359942,348339,2,1,1,1,0
"""IL""",5,1,66,61,171746,42218,165144,48940,8,0,1,1,0
"""IL""",6,0,67,74,270435,1055,281229,26555,16,1,1,1,0
"""IL""",9,1,71,66,839106,15164,122900,28324,26,1,1,1,1
"""IL""",11,1,54,65,855952,407617,239158,41259,26,0,1,1,0
"""IL""",17,1,67,65,390401,115495,471233,124133,8,1,1,1,0
"""IL""",19,1,66,64,258093,3581,193205,16241,6,1,1,1,1
"""IL""",20,1,66,69,209360,44861,251634,57708,8,1,1,1,1
"""IL""",21,1,66,53,380559,26230,394412,69486,2,0,1,1,1
"""IN""",1,1,66,77,299280,21355,141855,.,6,1,1,1,0
"""IN""",2,1,59,53,773178,595457,444422,332880,16,0,1,1,1
"""IN""",3,0,49,54,745145,473055,1085140,584006,.,.,1,0,0
"""IN""",4,1,61,51,752362,575363,415975,401811,1,0,1,1,0
"""IN""",5,1,53,56,652280,781224,689086,244985,4,0,1,1,0
"""IN""",6,0,63,73,311727,41180,333723,11743,8,0,1,1,0
"""IN""",8,1,55,62,446040,146961,551484,130243,8,1,1,1,0
"""IN""",10,1,66,61,14816,13201,35786,24919,16,1,1,1,0
"""IA""",5,0,68,64,418134,63591,420730,115701,6,0,1,1,0
"""IA""",6,0,72,64,322563,42597,523108,175951,4,0,1,1,0
"""KS""",2,1,63,73,504861,84568,388866,119263,8,1,1,1,0
"""KS""",3,0,60,74,209986,76007,234583,13483,6,0,1,1,0
"""KS""",4,1,71,64,355581,4317,545755,149035,14,1,1,1,0
"""KY""",2,1,66,61,6768,144315,8397,84102,37,1,1,1,1
"""KY""",3,1,61,70,303488,327390,371431,4931,20,1,1,1,0
"""KY""",4,0,69,74,563409,76580,468870,23636,4,0,1,1,0
"""KY""",7,1,51,59,344561,172257,411699,432403,6,1,1,1,1
"""ME""",2,0,51,66,306289,228344,202317,68390,12,0,1,1,0
"""MD""",1,1,43,50,771809,264932,684204,118568,.,.,1,0,1
"""MD""",3,1,70,73,363847,4234,354701,18893,4,1,1,1,0
"""MD""",4,1,59,68,560909,41129,599881,.,4,0,1,1,0
"""MD""",5,1,81,79,716469,8709,416187,.,9,1,1,1,0
"""MD""",6,1,65,75,325997,3557,213554,.,12,0,1,1,0
"""MA""",4,1,66,60,718160,31903,343097,34368,10,1,1,1,0
"""MA""",5,1,52,84,861333,236851,344930,15396,6,0,1,1,0
"""MA""",6,1,65,70,333912,19771,337199,63013,12,0,1,1,0
"""MA""",10,1,53,67,620387,271902,235946,121056,18,0,1,1,1
"""MI""",1,1,89,91,288906,545,124823,.,26,1,1,1,0
"""MI""",2,0,64,54,135801,9573,876779,750493,14,0,1,1,0
"""MI""",3,1,58,57,815244,274106,600940,164856,12,0,1,1,0
"""MI""",4,0,58,71,503164,78392,323829,8577,4,0,1,1,0
"""MI""",7,1,68,76,222531,6382,150594,1310,14,0,1,1,0
"""MI""",8,1,69,72,176815,433,128400,2188,16,1,1,1,0
"""MI""",9,0,55,70,452960,22155,450801,14866,24,1,1,1,0
"""MI""",11,0,61,60,325232,4072,680819,415660,12,0,1,1,0
"""MI""",12,1,63,54,1188905,295184,434200,143886,14,0,1,1,0
"""MI""",14,1,64,63,187545,1068,137560,3537,10,1,1,1,1
"""MI""",15,1,61,64,354964,42834,234435,7993,26,1,1,1,1
"""MI""",16,1,67,97,602952,3774,462180,.,35,1,1,1,0
"""MI""",18,0,66,77,78205,78205,77103,9459,34,0,1,1,0
"""MN""",2,0,62,38,670606,17778,623776,152295,10,0,1,1,0
"""MN""",4,1,65,72,266699,57415,216172,35789,14,0,1,1,1
"""MN""",5,1,73,72,321644,9497,281455,16915,12,0,1,1,1
"""MN""",6,1,65,65,378087,16219,320219,100941,8,1,1,1,0
"""MN""",7,0,55,46,487224,242364,288782,320437,.,.,1,1,0
"""MN""",8,1,73,75,229262,16681,157802,7743,16,0,1,1,1
"""MS""",1,1,65,78,96254,14750,58370,.,49,1,1,1,0
"""MO""",1,1,61,72,196909,12666,134200,.,22,0,1,1,0
"""MO""",2,0,50,66,670758,340390,693066,254492,.,.,1,1,0
"""MO""",3,1,57,63,1455794,82077,512206,202524,14,1,1,1,0
"""MO""",4,1,62,72,306485,7137,273316,.,14,1,1,1,1
"""MO""",6,0,52,59,315922,22428,341344,198617,14,1,1,1,0
"""MO""",7,0,52,53,182474,203265,338125,215064,2,0,1,1,0
"""MO""",8,0,57,58,704447,246595,768792,516239,10,1,1,1,0
"""MO""",9,1,57,68,238679,36045,210841,9565,14,1,1,1,0
"""MT""",1,1,61,61,345258,90238,250276,58204,12,0,1,1,0
"""MT""",2,0,63,55,310981,33883,380928,394102,14,0,1,1,0
"""NE""",1,0,65,67,223898,65064,221530,96278,12,0,1,1,0
"""NE""",2,1,58,51,929247,625716,858762,1158294,2,1,1,1,0
"""NV""",1,1,61,64,705037,149778,652199,147891,4,1,1,1,0
"""NH""",2,0,47,57,540605,465160,730803,519336,.,.,1,0,0
"""NJ""",3,1,49,52,634109,115202,678647,981865,2,1,1,0,0
"""NJ""",4,0,63,66,292826,55772,252823,53964,10,0,1,1,0
"""NJ""",6,1,51,62,147925,8887,123632,38919,10,0,1,1,0
"""NJ""",9,1,53,68,495219,34513,403059,57260,8,1,1,1,0
"""NJ""",11,0,65,70,694735,105031,490751,.,6,0,1,1,0
"""NJ""",13,0,58,69,730989,203147,411620,.,6,0,1,1,0
"""NM""",1,0,70,51,538273,123215,559134,576677,2,1,1,1,0
"""NM""",3,1,74,73,420907,20902,267633,41669,8,0,1,1,0
"""NY""",3,1,53,57,458759,184513,364087,90892,8,0,1,1,1
"""NY""",5,0,55,65,618882,291412,337792,35627,10,0,1,1,0
"""NY""",15,0,61,61,458486,19403,602942,162157,12,1,1,1,0
"""NY""",17,1,80,84,112722,431513,170567,2851,14,1,1,1,0
"""NY""",21,0,71,75,411614,729,277680,.,22,1,1,1,0
"""NY""",22,0,69,71,497635,3473,411056,10427,18,1,1,1,0
"""NY""",23,1,64,62,149204,23299,273505,174790,2,0,1,1,0
"""NY""",24,0,68,72,240615,95100,151276,15936,12,0,1,1,0
"""NY""",27,0,63,57,340553,11779,594965,645123,2,0,1,1,0
"""NY""",28,1,65,93,200047,23766,172905,.,16,1,1,1,0
"""NY""",30,1,59,57,322216,24712,802886,310704,4,0,1,1,0
"""NY""",31,0,57,53,506343,100353,688382,453462,2,0,1,1,0
"""NY""",34,0,70,96,178401,6462,319098,.,4,0,1,1,0
"""NC""",1,1,65,65,111622,20463,82147,16758,24,0,1,1,1
"""NC""",4,1,58,58,793291,890838,1006641,745726,4,0,1,1,0
"""NC""",5,1,59,53,647331,174574,756115,718015,16,0,1,1,0
"""NC""",6,0,67,62,572846,33135,738088,583013,6,1,1,1,0
"""NC""",7,1,66,67,153315,21131,185039,.,18,1,1,1,0
"""NC""",8,1,55,52,656383,300893,581888,242782,16,0,1,1,1
"""NC""",10,0,62,61,302006,37846,302215,44329,4,0,1,1,0
"""NC""",11,1,49,50,499869,523867,494092,503289,.,.,1,0,1
"""ND""",1,1,65,71,504800,284855,143210,1154,10,0,1,1,0
"""OH""",2,0,64,72,124331,5350,125682,13961,16,0,1,1,0
"""OH""",6,0,71,74,196934,11171,884754,43485,10,0,1,1,0
"""OH""",9,1,78,81,211524,200,244030,47945,8,1,1,1,0
"""OH""",11,1,66,62,453883,72686,561070,860766,10,1,1,1,1
"""OH""",12,0,72,80,278977,47815,351517,.,8,0,1,1,0
"""OH""",14,1,60,75,264793,3021,419005,13244,4,0,1,1,0
"""OH""",15,0,59,75,242592,15977,211963,6682,24,1,1,1,0
"""OH""",16,0,59,79,156205,68021,94492,.,18,1,1,1,0
"""OH""",17,1,78,77,79064,1700,96003,2391,6,0,1,1,0
"""OH""",19,1,65,70,229857,9508,226086,522,8,1,1,1,0
"""OK""",1,0,56,52,612116,406280,484585,253585,4,0,1,1,1
"""OK""",2,1,61,65,631839,62793,358705,81634,12,1,1,1,0
"""OK""",5,0,70,72,373414,6277,318822,302,14,1,1,1,0
"""OR""",4,1,86,72,217527,3343,279809,58563,4,0,1,1,0
"""OR""",5,0,45,50,884828,844797,559616,351806,.,.,1,0,1
"""PA""",1,1,79,76,234057,5969,234957,1643,10,1,1,1,0
"""PA""",2,1,92,94,814125,506,660456,.,12,0,1,1,0
"""PA""",3,1,60,63,277011,74417,250480,23101,8,0,1,1,0
"""PA""",4,1,56,70,132920,8837,90710,.,8,0,1,1,1
"""PA""",5,0,57,78,672705,26396,444205,.,16,0,1,1,0
"""PA""",6,1,57,63,191512,71317,121435,12002,22,0,1,1,0
"""PA""",7,0,65,68,480165,109618,507360,203582,4,0,1,1,0
"""PA""",8,1,57,57,826742,142957,1089612,507682,8,0,1,1,0
"""PA""",13,0,60,67,235766,39173,225412,60672,22,1,1,1,1
"""PA""",15,0,61,57,577790,102312,752332,355016,12,0,1,1,0
"""PA""",18,1,49,63,717124,251496,321074,16349,.,.,1,0,0
"""PA""",22,1,63,72,191739,3258,183335,.,14,1,1,1,0
"""PA""",23,0,59,62,338431,6765,336675,106463,12,1,1,1,0
